Player ID, trial, timestamp, x, y, rotx, roty
,2,257.1075,-21.29643,23.95895,160.8468,-7.116178
,2,257.4579,-19.81375,23.24642,160.8969,-7.066187
,2,257.8082,-18.31306,22.51515,160.9969,-7.041192
,2,258.1584,-17.40912,21.34922,163.3236,-6.966162
,2,258.5088,-16.95931,20.09297,160.1454,-7.066255
,2,258.859,-15.7418,19.30061,160.1454,-7.066255
,2,259.2094,-14.25017,18.60689,160.1705,-7.04126
,2,259.5597,-12.75881,17.91248,160.1956,-7.04126
,2,259.9099,-11.28649,17.18363,171.4819,-7.241443
,2,260.2603,-10.32232,15.94257,182.1859,-7.641615
,2,260.6105,-10.30915,14.54263,182.8364,-7.641615
,2,260.9608,-10.39477,13.16097,182.6862,-7.666696
,2,261.311,-10.46666,11.77419,185.2612,-7.391576
,2,261.6614,-10.6915,10.40206,189.0405,-7.141198
,2,262.0117,-10.897,9.027305,188.2147,-7.241302
,2,262.3619,-11.07636,7.649796,186.7628,-7.71684
,2,262.7123,-11.2343,6.270638,186.3373,-7.866975
,2,263.0625,-11.38394,4.891047,186.0869,-7.967027
,2,263.4128,-11.52852,3.510959,185.9116,-8.017018
,2,263.7632,-11.66967,2.130748,185.8115,-8.042014
,2,264.1134,-11.8088,0.7503904,185.7365,-8.06701
,2,264.4637,-11.94745,-0.6298428,185.7365,-8.06701
,2,264.814,-12.0861,-2.010028,185.7365,-8.06701
,2,265.1643,-12.22478,-3.390514,185.7365,-8.06701
,2,265.5146,-12.36344,-4.770882,185.7365,-8.06701
,2,265.865,-12.49685,-6.098889,185.7365,-8.06701
,2,266.2152,-12.63402,-7.479118,184.986,-8.242147
,2,266.5662,-12.633,-8.86968,178.6774,-7.388935
,2,266.9172,-12.60087,-10.26162,178.6774,-7.388935
,2,267.2671,-12.53165,-11.64455,174.7031,-8.638707
,2,267.6171,-12.40756,-13.02289,175.528,-8.41375
,2,267.9673,-12.28615,-14.40507,174.1265,-7.011854
,2,268.3179,-12.14373,-15.78947,174.1265,-6.986858
,2,268.6678,-12.00153,-17.17177,174.1265,-6.986858
,2,269.0183,-11.85911,-18.55616,174.1265,-6.986858
,2,269.3688,-11.71675,-19.94004,174.1265,-6.986858
,2,269.7189,-11.57451,-21.32266,174.1265,-6.986858
,2,270.0692,-11.43122,-22.70658,173.5516,-6.936868
,2,270.4193,-11.20083,-24.07811,169.9272,-6.611928
,2,270.7699,-10.95726,-25.44927,169.9272,-6.611928
,2,271.1201,-10.71385,-26.81955,169.9272,-6.611928
,2,271.4702,-10.47058,-28.18901,169.9272,-6.611928
,2,271.8206,-10.22705,-29.55996,169.9272,-6.611928
,2,272.1707,-9.983749,-30.92961,169.9272,-6.611928
,2,272.5211,-9.740227,-32.30051,169.9272,-6.611928
,2,272.8716,-9.496692,-33.67148,169.9272,-6.611928
,2,273.2216,-9.253491,-35.04056,169.9272,-6.611928
,2,273.572,-9.009901,-36.41184,169.9272,-6.611928
,2,273.9224,-8.766437,-37.78241,169.9272,-6.611928
,2,274.2729,-8.52282,-39.15384,169.9272,-6.611928
,2,274.6228,-8.279635,-40.52283,169.9272,-6.611928
,2,274.9733,-8.036152,-41.89351,169.9272,-6.611928
,2,275.3235,-7.792715,-43.26393,169.9272,-6.611928
,2,275.6735,-7.549494,-44.63313,169.9272,-6.611928
,2,276.0242,-7.305805,-46.00496,169.9272,-6.611928
,2,276.3744,-7.062387,-47.37527,169.9272,-6.611928
,2,276.7247,-6.818964,-48.74561,169.9272,-6.611928
,2,277.0751,-6.575451,-50.11645,169.9272,-6.611928
,2,277.4269,-6.330983,-51.49268,169.9272,-6.611928
,2,277.7773,-6.087457,-52.86359,169.9272,-6.611928
,2,278.1273,-5.844272,-54.23259,169.9272,-6.611928
,2,278.4772,-5.601086,-55.60159,169.9272,-6.611928
,3,0.3199463,-44.187,-2.6,169.9272,-6.611928
,3,0.6933594,-44.187,-2.6,169.9272,-6.611928
,3,1.043579,-44.187,-2.6,163.7971,-6.311678
,3,1.393799,-44.187,-2.6,137.6755,1.369697
,3,1.744141,-44.187,-2.6,89.36041,4.096967
,3,2.09436,-44.187,-2.6,50.45306,-3.484339
,3,2.444702,-44.187,-2.6,38.76837,-1.232463
,3,2.794922,-44.187,-2.6,0.2113037,0.2938041
,3,3.145264,-44.187,-2.6,357.3088,-0.0314673
,3,3.495605,-44.187,-2.6,343.1472,-0.7320504
,3,3.845825,-44.187,-2.6,342.7218,-0.8071127
,3,4.196167,-44.187,-2.6,343.3975,-0.9071962
,3,4.546387,-44.187,-2.6,343.6977,-1.307528
,3,4.896729,-44.38377,-1.997129,340.7451,-0.9822574
,3,5.24707,-44.9389,-0.7116165,334.615,-0.5318829
,3,5.59729,-45.53955,0.5542089,334.615,-0.5318829
,3,5.947632,-46.27716,1.741163,323.7059,0.5940538
,3,6.297852,-47.1021,2.873629,324.4566,0.6190744
,3,6.648193,-47.50342,4.173761,359.7359,-2.483508
,3,6.998535,-47.51281,5.573142,359.3355,-2.983925
,3,7.348755,-47.52904,6.972314,359.3355,-2.983925
,3,7.699097,-47.54585,8.371449,359.3105,-3.008946
,3,8.049316,-47.56268,9.77058,359.3105,-3.008946
,3,8.399658,-47.57952,11.16971,359.3105,-3.008946
,3,8.749878,-47.59636,12.56885,359.3105,-3.008946
,3,9.10022,-47.6132,13.96798,359.3105,-3.008946
,3,9.450562,-47.63004,15.36711,359.3105,-3.008946
,3,9.800781,-47.64688,16.76624,359.3105,-3.008946
,3,10.15112,-47.6506,18.16508,3.739075,-3.534383
,3,10.50134,-47.14058,19.45601,26.13269,-4.535216
,3,10.85168,-46.55093,20.72356,24.88171,-3.809615
,3,11.20203,-45.96269,21.99186,24.88171,-3.809615
,3,11.55225,-45.37446,23.26016,24.88171,-3.809615
,3,11.90259,-44.77785,24.52428,25.73254,-4.009781
,3,12.25281,-44.14299,25.76928,27.83459,-4.159906
,3,12.60315,-43.43766,26.97357,34.4151,-5.285844
,3,12.95349,-42.63185,28.11209,36.19165,-5.536026
,3,13.30371,-41.7854,29.10839,56.48352,-8.263295
,3,13.65405,-40.98353,30.45897,76.50031,-6.536861
,3,14.00439,-39.65631,30.90114,81.97626,-6.661797
,3,14.35474,-38.29607,30.70161,105.3832,-8.736819
,3,14.70483,-37.02921,30.54479,105.3081,-8.786811
,3,15.05518,-35.6343,31.2701,105.3081,-8.786811
,3,15.40552,-34.20575,32.0784,107.61,-9.062038
,3,15.75574,-32.71284,32.75651,113.3898,-9.487391
,3,16.10608,-31.14923,33.24603,122.8726,-8.586642
,3,16.4563,-29.51844,33.15714,144.8409,-6.710083
,3,16.80664,-28.79935,31.96898,155.5999,-4.833522
,3,17.15698,-28.22881,30.76349,163.1812,-6.009501
,3,17.5072,-27.94764,29.46759,190.6541,-8.561624
,3,17.85754,-28.25971,28.11777,193.5315,-8.511581
,3,18.20776,-28.57508,26.76887,190.0803,-9.036842
,3,18.55811,-28.32722,25.43535,163.1063,-11.71433
,3,18.90845,-27.70061,24.21386,142.264,-7.886139
,3,19.25867,-26.57907,23.38919,123.8988,-3.657623
,3,19.60901,-25.41091,22.62083,121.2214,-3.432435
,3,19.95923,-24.1861,21.94528,118.5942,-3.28231
,3,20.30957,-22.95785,21.27578,118.5942,-3.28231
,3,20.65979,-21.7296,20.60628,118.5942,-3.28231
,3,21.01013,-20.50012,19.93902,117.5683,-3.132185
,3,21.36047,-19.26063,19.36404,113.2147,-2.606749
,3,21.71069,-18.49862,18.17881,112.5391,-2.431603
,3,22.06104,-17.5142,16.90961,107.2598,-1.430769
,3,22.41125,-16.17568,16.4977,105.4332,-1.255623
,3,22.7616,-14.82537,16.12492,105.4332,-1.255623
,3,23.11194,-13.47573,15.7497,106.1588,-1.255623
,3,23.46216,-12.66126,14.73183,168.2354,-3.082143
,3,23.8125,-12.41593,13.35636,179.1946,-2.831934
,3,24.16272,-12.92026,12.06895,212.5974,-2.631767
,3,24.51306,-13.75887,10.94843,217.2763,-2.506663
,3,24.8634,-14.60669,9.834558,217.2763,-2.506663
,3,25.21362,-15.43517,8.706898,212.172,-3.257286
,3,25.56396,-15.93536,7.408848,193.7316,-4.933682
,3,25.91418,-16.18307,6.036266,188.7024,-5.384057
,3,26.26453,-16.37683,4.655332,183.448,-5.759368
,3,26.61475,-16.12605,3.300566,153.8233,-6.209744
,3,26.96509,-15.45955,2.088564,151.6467,-5.584225
,3,27.31543,-15.8335,0.8910316,178.4939,-7.060454
,3,27.66565,-17.09487,-0.2330616,186.4257,-7.335683
,3,28.01599,-17.50853,-1.584958,186.4257,-7.335683
,3,28.36621,-17.72442,-2.957291,192.7308,-6.835268
,3,28.71655,-18.09579,-4.29846,196.3339,-6.484975
,3,29.06689,-18.45592,-5.641828,194.0317,-7.335683
,3,29.41711,-18.93409,-6.842768,193.231,-7.685975
,3,29.76746,-19.36865,-8.167257,193.3811,-7.585892
,3,30.11768,-20.05366,-9.244019,192.0048,-8.711828
,3,30.46802,-21.39588,-10.17587,189.4527,-9.812742
,3,30.81836,-22.70779,-11.16003,186.1249,-9.087156
,3,31.16858,-23.80789,-12.37438,183.0472,-8.586743
,3,31.51892,-23.95122,-13.75418,183.0472,-8.586743
,3,31.86914,-24.02487,-15.13768,183.0472,-8.586743
,3,32.21948,-24.0663,-16.52211,180.5453,-8.636785
,3,32.5697,-24.07949,-17.90741,180.5453,-8.611764
,3,32.92004,-24.10334,-19.29291,181.3712,-8.43662
,3,33.27039,-24.13706,-20.6785,181.3962,-8.43662
,3,33.62061,-24.17083,-22.0641,181.3962,-8.43662
,3,33.97095,-24.49291,-23.28862,181.3962,-8.43662
,3,34.32117,-25.64685,-24.41584,181.3962,-8.43662
,3,34.67151,-26.71853,-25.67711,181.3962,-8.43662
,3,35.02185,-26.84536,-27.06044,181.3962,-8.43662
,3,35.37207,-26.91818,-28.44397,183.9233,-8.636785
,3,35.72241,-27.01776,-29.82563,185.0744,-8.661805
,3,36.07263,-27.19553,-31.19841,188.4773,-8.962052
,3,36.42297,-27.39986,-32.5672,188.4022,-9.037114
,3,36.77332,-27.59981,-33.93623,188.127,-9.162193
,3,37.12354,-27.7415,-35.30943,175.0192,-9.137297
,3,37.49048,-27.19695,-36.31197,145.4665,-7.31048
,3,37.84082,-27.14219,-36.35346,91.04089,-5.05892
,3,38.19116,-27.14219,-36.35346,58.0885,-3.332484
,3,38.54138,-27.14219,-36.35346,57.26282,-3.382525
,3,38.89172,-27.14219,-36.35346,57.81329,-3.53265
